,Date,Country,City,Street,Latitude,Longitude
40174,30 abr 2025,MX,Zapopan,Prol. Av. Guadalupe,20.648614,-103.457648
40175,30 abr 2025,MX,Zapopan,,20.627842,-103.417916
40176,30 abr 2025,MX,Zapopan,Prol. Av. Guadalupe,20.648712,-103.457468
40177,30 abr 2025,MX,Zapopan,Prol. Av. Guadalupe,20.657348,-103.450684
40178,30 abr 2025,MX,Guadalajara,,20.706432,-103.361303
40179,30 abr 2025,MX,Zapopan,Prol. Av. Guadalupe,20.656835,-103.452096
40180,30 abr 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,20.741138,-103.406929
40181,30 abr 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,20.770425,-103.447895
40182,30 abr 2025,MX,Zapopan,Prol. Belenes,20.739634,-103.375057
40183,30 abr 2025,MX,Zapopan,,20.743482,-103.408911
40184,30 abr 2025,MX,Guadalajara,,20.674764,-103.387092
40185,30 abr 2025,MX,Zapopan,Prol. Dr. Ángel Leaño,20.77079,-103.418847
40186,30 abr 2025,MX,Tlaquepaque,Prol. Gobernador Curiel,20.598557,-103.344717
40187,30 abr 2025,MX,Tlaquepaque,Prol. Gobernador Curiel,20.608838,-103.340692
40188,30 abr 2025,MX,Zapopan,Lateral Av. Juan Pablo II,20.728644,-103.388681
40189,30 abr 2025,MX,Tlaquepaque,Prol. Gobernador Curiel,20.584353,-103.353847
40190,30 abr 2025,MX,Tlaquepaque,Prol. Gobernador Curiel,20.601633,-103.345283
40191,30 abr 2025,MX,Zapopan,Lateral Av. Juan Pablo II,20.733577,-103.397205
40192,30 abr 2025,MX,Tlaquepaque,Prol. Gobernador Curiel,20.589325,-103.35055
40193,30 abr 2025,MX,Zapopan,,20.743333,-103.390473
40194,30 abr 2025,MX,Guadalajara,,20.667142,-103.368768
40195,30 abr 2025,MX,Zapopan,,20.624518,-103.423229
40196,30 abr 2025,MX,Guadalajara,,20.671644,-103.397493
40197,30 abr 2025,MX,Tlaquepaque,Prol. González Gallo,20.581632,-103.383806
40198,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.694132,-103.374515
40199,30 abr 2025,MX,Zapopan,,20.72173,-103.421985
40200,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.675665,-103.386447
40201,30 abr 2025,MX,Zapopan,Prol. La Calma,20.617873,-103.430116
40202,30 abr 2025,MX,Tlaquepaque,16 de Septiembre,20.637368,-103.307805
